,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2015-2016,17,Manchester Utd,eng ENG,1. Premier League,5th,9.5,,,,,,,,,,,,,,,2,,,,,,,,,Matches
2016-2017,18,Manchester Utd,eng ENG,1. Premier League,6th,19.0,,,,,,,,,,,,,,,1,,,,,,,,,Matches
2017-2018,19,Manchester Utd,eng ENG,1. Premier League,2nd,20.1,470,674,69.7,6278,1425,281,324,86.7,114,157,72.6,22,81,27.2,5,3.8,3.3,+1.2,22,22,24,4,46,Matches
2018-2019,20,Manchester Utd,eng ENG,1. Premier League,6th,25.9,533,729,73.1,7026,1648,323,387,83.5,131,180,72.8,28,66,42.4,6,5.0,3.5,+1.0,38,31,22,3,65,Matches
2019-2020,21,Manchester Utd,eng ENG,1. Premier League,3rd,29.4,745,989,75.3,10954,2747,421,527,79.9,228,276,82.6,49,88,55.7,7,5.0,4.5,+2.0,33,48,61,3,124,Matches
2020-2021,22,Manchester Utd,eng ENG,1. Premier League,2nd,32.4,1001,1248,80.2,14132,2775,579,663,87.3,303,367,82.6,54,84,64.3,9,3.8,3.1,+5.2,43,44,54,5,117,Matches
2021-2022,23,Manchester Utd,eng ENG,1. Premier League,6th,13.7,304,424,71.7,3973,706,199,252,79.0,82,110,74.5,7,20,35.0,2,2.1,2.0,-0.1,9,18,10,1,28,Matches
2022-2023,24,Manchester Utd,eng ENG,1. Premier League,4th,25.6,481,641,75.0,6823,1625,315,373,84.5,109,141,77.3,31,50,62.0,3,2.7,2.2,+0.3,22,26,35,2,60,Matches
