,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2015-2016,17,Manchester Utd,eng ENG,1. Premier League,5th,9.5,5,,8,,,0.84,,0.63,,,0,0,,,,,,Matches
2016-2017,18,Manchester Utd,eng ENG,1. Premier League,6th,19.0,5,44,17,38.6,2.32,0.89,0.11,0.29,,,0,0,,,,,,Matches
2017-2018,19,Manchester Utd,eng ENG,1. Premier League,2nd,20.1,7,61,20,32.8,3.03,0.99,0.11,0.35,19.4,6,0,0,5.2,5.2,0.09,+1.8,+1.8,Matches
2018-2019,20,Manchester Utd,eng ENG,1. Premier League,6th,25.9,10,84,39,46.4,3.24,1.50,0.12,0.26,19.2,12,0,0,10.7,10.7,0.13,-0.7,-0.7,Matches
2019-2020,21,Manchester Utd,eng ENG,1. Premier League,3rd,29.4,17,87,37,42.5,2.96,1.26,0.13,0.30,19.7,16,6,8,19.2,12.9,0.15,-2.2,-1.9,Matches
2020-2021,22,Manchester Utd,eng ENG,1. Premier League,2nd,32.4,11,79,36,45.6,2.43,1.11,0.14,0.31,18.9,5,0,0,8.9,8.9,0.11,+2.1,+2.1,Matches
2021-2022,23,Manchester Utd,eng ENG,1. Premier League,6th,13.7,4,22,12,54.5,1.60,0.87,0.18,0.33,17.7,1,0,0,2.9,2.9,0.13,+1.1,+1.1,Matches
2022-2023,24,Manchester Utd,eng ENG,1. Premier League,4th,25.6,15,72,34,47.2,2.81,1.33,0.21,0.44,15.5,4,0,0,10.9,10.9,0.15,+4.1,+4.1,Matches
