Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
2015-2016,17,Manchester Utd,eng ENG,1. Premier League,5th,9.5,,,,,,,,,,,,,,,,,Matches
2016-2017,18,Manchester Utd,eng ENG,1. Premier League,6th,19.0,,,,,,,,,,,,,,,,,Matches
2017-2018,19,Manchester Utd,eng ENG,1. Premier League,2nd,20.1,55,2.73,34,4,10,2,3,2,8,0.40,5,1,1,0,1,0,Matches
2018-2019,20,Manchester Utd,eng ENG,1. Premier League,6th,25.9,81,3.12,55,4,8,6,7,1,13,0.50,8,0,4,1,0,0,Matches
2019-2020,21,Manchester Utd,eng ENG,1. Premier League,3rd,29.4,95,3.23,66,2,13,4,10,0,19,0.65,12,0,3,0,4,0,Matches
2020-2021,22,Manchester Utd,eng ENG,1. Premier League,2nd,32.4,116,3.58,87,0,17,5,7,0,20,0.62,16,0,3,0,1,0,Matches
2021-2022,23,Manchester Utd,eng ENG,1. Premier League,6th,13.7,27,1.97,16,0,5,2,4,0,3,0.22,3,0,0,0,0,0,Matches
2022-2023,24,Manchester Utd,eng ENG,1. Premier League,4th,25.6,66,2.58,41,0,13,8,3,1,8,0.31,5,0,2,0,1,0,Matches
