,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,Attendu,Progression,Progression,Progression,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Saison,Âge,Équipe,Pays,Comp,CltChamp,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs
2015-2016,17,Manchester Utd,eng ENG,1. Premier League,5e,11,11,855,9.5,5,2,7,5,0,0,0,0,,,,,,,,0.53,0.21,0.74,0.53,0.74,,,,,,Matchs
2016-2017,18,Manchester Utd,eng ENG,1. Premier League,6e,32,16,1710,19.0,5,1,6,5,0,0,3,0,,,,,,,,0.26,0.05,0.32,0.26,0.32,,,,,,Matchs
2017-2018,19,Manchester Utd,eng ENG,1. Premier League,2e,35,17,1813,20.1,7,5,12,7,0,0,3,0,5.2,5.2,3.8,9.0,82,46,160,0.35,0.25,0.60,0.35,0.60,0.26,0.19,0.45,0.26,0.45,Matchs
2018-2019,20,Manchester Utd,eng ENG,1. Premier League,6e,33,26,2334,25.9,10,6,16,10,0,0,3,1,10.7,10.7,5.0,15.7,74,65,225,0.39,0.23,0.62,0.39,0.62,0.41,0.19,0.60,0.41,0.60,Matchs
2019-2020,21,Manchester Utd,eng ENG,1. Premier League,3e,31,31,2643,29.4,17,7,24,11,6,8,3,0,19.2,12.9,5.0,17.9,105,124,250,0.58,0.24,0.82,0.37,0.61,0.65,0.17,0.82,0.44,0.61,Matchs
2020-2021,22,Manchester Utd,eng ENG,1. Premier League,2e,37,33,2920,32.4,11,9,20,11,0,0,4,0,8.9,8.9,3.8,12.8,134,117,330,0.34,0.28,0.62,0.34,0.62,0.28,0.12,0.39,0.28,0.39,Matchs
2021-2022,23,Manchester Utd,eng ENG,1. Premier League,6e,25,13,1235,13.7,4,2,6,4,0,0,2,0,2.9,2.9,2.1,5.0,50,28,118,0.29,0.15,0.44,0.29,0.44,0.21,0.15,0.36,0.21,0.36,Matchs
2022-2023,24,Manchester Utd,eng ENG,1. Premier League,4e,28,26,2306,25.6,15,3,18,15,0,0,2,0,10.9,10.9,2.7,13.6,65,60,190,0.59,0.12,0.70,0.59,0.70,0.43,0.10,0.53,0.43,0.53,Matchs
