Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2019-10-11,Ven,UEFA Euro Qualifying,Phase de groupe,Domicile,V 3–0,pt Portugal,lu Luxembourg,Y*,FW,90,1,0,0,0,10,4,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-10-14,Lun,UEFA Euro Qualifying,Phase de groupe,Extérieur,D 1–2,pt Portugal,ua Ukraine,Y*,FW,90,1,0,1,1,10,6,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-10-19,Sam,Serie A,Journée 8,Domicile,V 2–1,Juventus,Bologna,Y,FW,90,1,0,0,0,6,3,0,0,62,1,0,0,0.4,0.4,0.9,7,2,36,50,72.0,6,51,6,4,2,Rapport de match
2019-10-22,Mar,Champions Lg,Phase de groupe,Domicile,V 2–1,it Juventus,ru Loko Moscow,Y,FW,90,0,0,0,0,8,3,0,0,63,0,1,1,0.4,0.4,0.1,5,0,38,46,82.6,7,42,3,4,3,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30,Mer,Serie A,Journée 10,Domicile,V 2–1,Juventus,Genoa,Y,FW,90,1,0,1,1,6,3,0,0,52,0,0,0,1.4,0.6,0.1,6,1,35,41,85.4,2,38,5,2,1,Rapport de match
2019-11-02,Sam,Serie A,Journée 11,Extérieur,V 1–0,Juventus,Torino,Y,FW,90,0,0,0,0,7,3,0,0,44,0,0,0,0.4,0.4,0.0,4,0,23,30,76.7,5,29,3,0,0,Rapport de match
2019-11-06,Mer,Champions Lg,Phase de groupe,Extérieur,V 2–1,it Juventus,ru Loko Moscow,Y,FW,81,0,1,0,0,8,3,0,0,51,0,0,0,0.4,0.4,0.0,3,1,28,37,75.7,3,34,1,5,1,Rapport de match
2019-11-10,Dim,Serie A,Journée 12,Domicile,V 1–0,Juventus,Milan,Y,FW,54,0,0,0,0,1,1,0,0,38,0,0,0,0.0,0.0,0.1,1,0,23,31,74.2,1,31,1,2,1,Rapport de match
2019-11-14,Jeu,UEFA Euro Qualifying,Phase de groupe,Domicile,V 6–0,pt Portugal,lt Lituanie,Y*,AM,82,3,0,1,1,13,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-11-17,Dim,UEFA Euro Qualifying,Phase de groupe,Extérieur,V 2–0,pt Portugal,lu Luxembourg,Y,LW,90,1,0,0,0,5,2,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-11-26,Mar,Champions Lg,Phase de groupe,Domicile,V 1–0,it Juventus,es Atlético Madrid,Y,FW,90,0,0,0,0,1,0,0,0,40,1,1,0,0.1,0.1,0.1,3,0,25,31,80.6,1,25,4,3,2,Rapport de match
2019-12-01,Dim,Serie A,Journée 14,Domicile,N 2–2,Juventus,Sassuolo,Y,FW,90,1,0,1,1,8,1,0,0,47,1,0,1,1.4,0.6,0.5,6,1,22,30,73.3,2,34,5,2,0,Rapport de match
2019-12-07,Sam,Serie A,Journée 15,Extérieur,D 1–3,Juventus,Lazio,Y,FW,90,1,0,0,0,2,2,0,0,52,0,0,1,0.7,0.7,0.6,3,1,38,44,86.4,5,45,9,3,2,Rapport de match
2019-12-11,Mer,Champions Lg,Phase de groupe,Extérieur,V 2–0,it Juventus,de Leverkusen,Y,FW,90,1,0,0,0,2,1,0,0,39,0,2,0,0.7,0.7,0.0,1,0,28,32,87.5,2,23,4,2,1,Rapport de match
2019-12-15,Dim,Serie A,Journée 16,Domicile,V 3–1,Juventus,Udinese,Y,FW,90,2,0,0,0,7,3,0,0,63,0,0,0,0.7,0.7,0.1,7,0,47,53,88.7,3,43,11,1,1,Rapport de match
2019-12-18,Mer,Serie A,Journée 17,Extérieur,V 2–1,Juventus,Sampdoria,Y,FW,90,1,0,0,0,4,2,0,0,69,2,0,1,0.2,0.2,0.0,1,0,35,50,70.0,3,43,9,3,3,Rapport de match
2019-12-22,Dim,Supercoppa Italiana,Supercoppa Italiana,Terrain neutre,D 1–3,Juventus,Lazio,Y,FW,90,0,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-01-06,Lun,Serie A,Journée 18,Domicile,V 4–0,Juventus,Cagliari,Y,FW,90,3,1,1,1,7,3,0,0,62,0,1,1,1.8,1.0,0.1,8,3,41,50,82.0,2,46,7,6,6,Rapport de match
2020-01-12,Dim,Serie A,Journée 19,Extérieur,V 2–1,Juventus,Roma,Y,FWLM,90,1,0,1,1,2,1,0,0,43,0,1,1,0.9,0.1,0.0,2,1,26,32,81.3,4,30,3,2,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,Dim,Serie A,Journée 20,Domicile,V 2–1,Juventus,Parma,Y,FW,90,2,0,0,0,8,4,0,0,70,0,2,0,0.8,0.8,0.2,8,0,44,49,89.8,2,56,10,2,0,Rapport de match
2020-01-22,Mer,Coppa Italia,Quarts de finale,Domicile,V 3–1,Juventus,Roma,Y,FW,90,1,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-01-26,Dim,Serie A,Journée 21,Extérieur,D 1–2,Juventus,Napoli,Y,FWLW,90,1,0,0,0,3,1,1,0,40,0,0,0,0.6,0.6,0.1,2,0,27,33,81.8,4,27,3,3,2,Rapport de match
2020-02-02,Dim,Serie A,Journée 22,Domicile,V 3–0,Juventus,Fiorentina,Y,LW,90,2,0,2,2,2,0,0,0,43,0,0,0,1.7,0.1,0.1,5,0,27,30,90.0,2,36,5,6,4,Rapport de match
2020-02-08,Sam,Serie A,Journée 23,Extérieur,D 1–2,Juventus,Hellas Verona,Y,LWFW,90,1,0,0,0,7,2,0,0,49,0,0,0,0.6,0.6,0.1,3,1,33,37,89.2,5,36,7,4,3,Rapport de match
2020-02-13,Jeu,Coppa Italia,Demi-finales,Extérieur,N 1–1,Juventus,Milan,Y,FW,90,1,0,1,1,4,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,Sam,Serie A,Journée 25,Extérieur,V 2–1,Juventus,SPAL,Y,FW,90,1,0,0,0,9,4,0,0,50,2,0,0,1.0,1.0,0.0,2,0,27,33,81.8,3,37,5,3,1,Rapport de match
2020-02-26,Mer,Champions Lg,Huitièmes de finale,Extérieur,D 0–1,it Juventus,fr Lyon,Y,LWAM,90,0,0,0,0,4,0,0,0,44,0,0,0,0.2,0.2,0.0,4,0,27,37,73.0,1,33,7,1,1,Rapport de match
2020-03-08,Dim,Serie A,Journée 26,Domicile,V 2–0,Juventus,Inter,Y,LW,90,0,1,0,0,9,1,1,0,62,1,0,1,0.4,0.4,0.2,9,0,36,41,87.8,5,51,8,2,2,Rapport de match
2020-06-12,Ven,Coppa Italia,Demi-finales,Domicile,N 0–0,Juventus,Milan,Y,FW,90,0,0,0,1,9,2,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-06-17,Mer,Coppa Italia,Finale,Extérieur,N 0 (2)–0 (4),Juventus,Napoli,Y,FW,120,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-06-22,Lun,Serie A,Journée 27,Extérieur,V 2–0,Juventus,Bologna,Y,LW,90,1,0,1,1,5,1,0,0,53,1,0,0,1.2,0.4,0.2,4,0,32,37,86.5,3,41,7,1,1,Rapport de match
2020-06-26,Ven,Serie A,Journée 28,Domicile,V 4–0,Juventus,Lecce,Y,LW,90,1,1,1,1,6,1,0,0,51,0,0,0,1.4,0.6,0.7,5,2,31,39,79.5,3,33,4,2,1,Rapport de match
2020-06-30,Mar,Serie A,Journée 29,Extérieur,V 3–1,Juventus,Genoa,Y,LW,73,1,0,0,0,6,4,0,0,45,0,0,0,0.2,0.2,0.0,2,0,34,38,89.5,3,29,4,1,1,Rapport de match
2020-07-04,Sam,Serie A,Journée 30,Domicile,V 4–1,Juventus,Torino,Y,LW,90,1,1,0,0,6,2,0,0,37,1,0,0,0.3,0.3,0.2,5,1,21,25,84.0,4,26,6,5,4,Rapport de match
2020-07-07,Mar,Serie A,Journée 31,Extérieur,D 2–4,Juventus,Milan,Y,LW,90,1,0,0,0,4,1,0,0,50,1,1,0,0.5,0.5,0.0,4,0,30,38,78.9,4,41,3,5,2,Rapport de match
2020-07-11,Sam,Serie A,Journée 32,Domicile,N 2–2,Juventus,Atalanta,Y,LW,90,2,0,2,2,3,1,0,0,46,0,0,0,1.9,0.3,0.0,2,1,32,37,86.5,1,42,5,2,1,Rapport de match
2020-07-15,Mer,Serie A,Journée 33,Extérieur,N 3–3,Juventus,Sassuolo,Y,LW,90,0,0,0,0,10,2,1,0,50,1,0,0,1.2,1.2,0.0,7,0,34,34,100.0,3,23,3,2,0,Rapport de match
2020-07-20,Lun,Serie A,Journée 34,Domicile,V 2–1,Juventus,Lazio,Y,LW,90,2,0,1,1,10,2,0,0,54,1,0,2,2.9,2.2,0.1,6,1,35,39,89.7,4,29,2,2,1,Rapport de match
2020-07-23,Jeu,Serie A,Journée 35,Extérieur,D 1–2,Juventus,Udinese,Y,LW,90,0,0,0,0,7,2,0,0,49,0,0,0,0.2,0.2,0.1,5,1,32,39,82.1,2,42,3,0,0,Rapport de match
2020-07-26,Dim,Serie A,Journée 36,Domicile,V 2–0,Juventus,Sampdoria,Y,LW,90,1,0,0,1,5,3,0,0,48,0,0,2,1.3,0.5,0.5,4,1,24,32,75.0,3,32,4,1,0,Rapport de match
2020-07-29,Mer,Serie A,Journée 37,Extérieur,D 0–2,Juventus,Cagliari,Y,LWFW,90,0,0,0,0,10,2,0,0,61,0,0,0,0.4,0.4,0.1,8,0,35,42,83.3,3,44,6,5,2,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,Ven,Champions Lg,Huitièmes de finale,Domicile,V 2–1,it Juventus,fr Lyon,Y,FWLW,90,2,0,1,1,8,2,0,0,43,0,0,0,1.5,0.7,0.3,5,0,27,32,84.4,5,29,5,0,0,Rapport de match
,,,,,35-8-9,,,52/52,,4628,48,6,17,19,312,110,3,0,2085,15,10,11,33.0,22.0,6.9,176,22,1299,1572,82.6,143,1468,204,109,67,
