Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2019-08-24,Sam,Serie A,Journée 1,Extérieur,V 1–0,Juventus,Parma,Y,LWFW,90,0,0,0,0,7,2,0,0,57,0,0,0,0.9,0.9,0.0,1,0,38,43,88.4,8,38,3,1,1,Rapport de match
2019-08-31,Sam,Serie A,Journée 2,Domicile,V 4–3,Juventus,Napoli,Y,LW,90,1,0,0,0,3,2,0,0,43,0,0,0,0.5,0.5,0.1,2,0,28,32,87.5,6,29,4,2,0,Rapport de match
2019-09-07,Sam,UEFA Euro Qualifying,Phase de groupe,Extérieur,V 4–2,pt Portugal,rs Serbie,Y*,FW,90,1,0,0,0,7,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-09-10,Mar,UEFA Euro Qualifying,Phase de groupe,Extérieur,V 5–1,pt Portugal,lt Lituanie,Y*,FW,78,4,0,1,1,8,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2019-09-14,Sam,Serie A,Journée 3,Extérieur,N 0–0,Juventus,Fiorentina,Y,FW,90,0,0,0,0,3,1,0,0,43,1,0,0,0.2,0.2,0.0,1,0,27,34,79.4,2,26,3,2,1,Rapport de match
2019-09-18,Mer,Champions Lg,Phase de groupe,Extérieur,N 2–2,it Juventus,es Atlético Madrid,Y,LW,90,0,0,0,0,3,2,0,0,56,0,0,0,0.2,0.2,0.0,4,1,39,49,79.6,4,34,11,4,4,Rapport de match
2019-09-21,Sam,Serie A,Journée 4,Domicile,V 2–1,Juventus,Hellas Verona,Y,LW,90,1,1,1,1,9,0,0,0,50,0,0,0,1.3,0.5,0.4,4,1,26,36,72.2,3,38,5,1,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-28,Sam,Serie A,Journée 6,Domicile,V 2–0,Juventus,SPAL,Y,FW,90,1,0,0,0,6,5,0,0,60,1,0,0,0.6,0.6,0.9,7,1,36,48,75.0,3,39,5,6,4,Rapport de match
2019-10-01,Mar,Champions Lg,Phase de groupe,Domicile,V 3–0,it Juventus,de Leverkusen,Y,FW,90,1,0,0,0,5,3,0,0,50,0,0,0,0.9,0.9,0.0,3,0,35,41,85.4,2,28,2,3,2,Rapport de match
2019-10-06,Dim,Serie A,Journée 7,Extérieur,V 2–1,Juventus,Inter,Y,FW,90,0,0,0,0,7,2,0,0,56,0,1,0,0.4,0.4,0.1,7,1,37,40,92.5,9,35,3,4,4,Rapport de match
