Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2008-09-17,Mer,Champions Lg,Phase de groupe,Domicile,N 0–0,eng Manchester Utd,es Villarreal,N,,29,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-09-21,Dim,Premier League,Journée 5,Extérieur,N 1–1,Manchester Utd,Chelsea,N,,36,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2008-09-27,Sam,Premier League,Journée 6,Domicile,V 2–0,Manchester Utd,Bolton,Y,,79,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2008-09-30,Mar,Champions Lg,Phase de groupe,Extérieur,V 3–0,eng Manchester Utd,dk Aalborg,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-10-04,Sam,Premier League,Journée 7,Extérieur,V 2–0,Manchester Utd,Blackburn,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-10-11,Sam,WCQ,Premier tour,Extérieur,N 0–0,pt Portugal,se Suède,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2008-10-15,Mer,WCQ,Premier tour,Domicile,N 0–0,pt Portugal,al Albanie,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2008-10-18,Sam,Premier League,Journée 8,Domicile,V 4–0,Manchester Utd,West Brom,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-10-21,Mar,Champions Lg,Phase de groupe,Domicile,V 3–0,eng Manchester Utd,sct Celtic,Y,,81,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-10-25,Sam,Premier League,Journée 9,Extérieur,N 1–1,Manchester Utd,Everton,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-10-29,Mer,Premier League,Journée 10,Domicile,V 2–0,Manchester Utd,West Ham,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-01,Sam,Premier League,Journée 11,Domicile,V 4–3,Manchester Utd,Hull City,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-05,Mer,Champions Lg,Phase de groupe,Extérieur,N 1–1,eng Manchester Utd,sct Celtic,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-08,Sam,Premier League,Journée 12,Extérieur,D 1–2,Manchester Utd,Arsenal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-15,Sam,Premier League,Journée 13,Domicile,V 5–0,Manchester Utd,Stoke City,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-22,Sam,Premier League,Journée 14,Extérieur,N 0–0,Manchester Utd,Aston Villa,Y,,81,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-11-25,Mar,Champions Lg,Phase de groupe,Extérieur,N 0–0,eng Manchester Utd,es Villarreal,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2008-11-30,Dim,Premier League,Journée 15,Extérieur,V 1–0,Manchester Utd,Manchester City,Y,,67,0,,0,,,,2,1,,,,,,,0,,,Rapport de match
2008-12-06,Sam,Premier League,Journée 16,Domicile,V 1–0,Manchester Utd,Sunderland,Y,,67,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-13,Sam,Premier League,Journée 17,Extérieur,N 0–0,Manchester Utd,Tottenham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-12-26,Ven,Premier League,Journée 19,Extérieur,V 1–0,Manchester Utd,Stoke City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2008-12-29,Lun,Premier League,Journée 20,Domicile,V 1–0,Manchester Utd,Middlesbrough,Y,,83,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-01-11,Dim,Premier League,Journée 21,Domicile,V 3–0,Manchester Utd,Chelsea,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2009-01-14,Mer,Premier League,Journée 18,Domicile,V 1–0,Manchester Utd,Wigan Athletic,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-01-17,Sam,Premier League,Journée 22,Extérieur,V 1–0,Manchester Utd,Bolton,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-01-27,Mar,Premier League,Journée 23,Extérieur,V 5–0,Manchester Utd,West Brom,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-01-31,Sam,Premier League,Journée 24,Domicile,V 1–0,Manchester Utd,Everton,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2009-02-08,Dim,Premier League,Journée 25,Extérieur,V 1–0,Manchester Utd,West Ham,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-02-18,Mer,Premier League,Journée 3,Domicile,V 3–0,Manchester Utd,Fulham,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-02-21,Sam,Premier League,Journée 26,Domicile,V 2–1,Manchester Utd,Blackburn,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Rapport de match
2009-02-24,Mar,Champions Lg,Huitièmes de finale,Extérieur,N 0–0,eng Manchester Utd,it Inter,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-03-04,Mer,Premier League,Journée 28,Extérieur,V 2–1,Manchester Utd,Newcastle Utd,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-03-11,Mer,Champions Lg,Huitièmes de finale,Domicile,V 2–0,eng Manchester Utd,it Inter,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-03-14,Sam,Premier League,Journée 29,Domicile,D 1–4,Manchester Utd,Liverpool,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2009-03-21,Sam,Premier League,Journée 30,Extérieur,D 0–2,Manchester Utd,Fulham,Y,,90,0,0,0,,,,1,0,,,,,,,0,,,Rapport de match
2009-03-28,Sam,WCQ,Premier tour,Domicile,N 0–0,pt Portugal,se Suède,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2009-04-05,Dim,Premier League,Journée 31,Domicile,V 3–2,Manchester Utd,Aston Villa,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-04-07,Mar,Champions Lg,Quarts de finale,Domicile,N 2–2,eng Manchester Utd,pt Porto,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-04-11,Sam,Premier League,Journée 32,Extérieur,V 2–1,Manchester Utd,Sunderland,N,,22,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-04-15,Mer,Champions Lg,Quarts de finale,Extérieur,V 1–0,eng Manchester Utd,pt Porto,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-04-22,Mer,Premier League,Journée 27,Domicile,V 2–0,Manchester Utd,Portsmouth,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-04-25,Sam,Premier League,Journée 34,Domicile,V 5–2,Manchester Utd,Tottenham,Y,,90,2,,1,,,,1,0,,,,,,,0,,,Rapport de match
2009-04-29,Mer,Champions Lg,Demi-finales,Domicile,V 1–0,eng Manchester Utd,eng Arsenal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-05,Mar,Champions Lg,Demi-finales,Extérieur,V 3–1,eng Manchester Utd,eng Arsenal,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-05-10,Dim,Premier League,Journée 36,Domicile,V 2–0,Manchester Utd,Manchester City,Y,,57,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
