Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2010-08-29,Dim,La Liga,Journée 1,Extérieur,N 0–0,Real Madrid,Mallorca,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2010-09-11,Sam,La Liga,Journée 2,Domicile,V 1–0,Real Madrid,Osasuna,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2010-09-15,Mer,Champions Lg,Phase de groupe,Domicile,V 2–0,es Real Madrid,nl Ajax,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-09-18,Sam,La Liga,Journée 3,Extérieur,V 2–1,Real Madrid,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-09-21,Mar,La Liga,Journée 4,Domicile,V 3–0,Real Madrid,Espanyol,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-09-25,Sam,La Liga,Journée 5,Extérieur,N 0–0,Real Madrid,Levante,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-09-28,Mar,Champions Lg,Phase de groupe,Extérieur,V 1–0,es Real Madrid,fr Auxerre,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2010-10-03,Dim,La Liga,Journée 6,Domicile,V 6–1,Real Madrid,La Coruña,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-10-08,Ven,Qualifications Euro,Phase de groupe,Domicile,V 3–1,pt Portugal,dk Danemark,Y*,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2010-10-12,Mar,Qualifications Euro,Phase de groupe,Extérieur,V 3–1,pt Portugal,is Islande,Y*,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2010-10-16,Sam,La Liga,Journée 7,Extérieur,V 4–1,Real Madrid,Málaga,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-10-19,Mar,Champions Lg,Phase de groupe,Domicile,V 2–0,es Real Madrid,it Milan,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-10-23,Sam,La Liga,Journée 8,Domicile,V 6–1,Real Madrid,Racing Sant,Y,,90,4,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-10-30,Sam,La Liga,Journée 9,Extérieur,V 3–1,Real Madrid,Hércules,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-11-03,Mer,Champions Lg,Phase de groupe,Extérieur,N 2–2,es Real Madrid,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
