Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2013-08-18,Dim,La Liga,Journée 1,Domicile,V 2–1,Real Madrid,Betis,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-08-26,Lun,La Liga,Journée 2,Extérieur,V 1–0,Real Madrid,Granada,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-09-01,Dim,La Liga,Journée 3,Domicile,V 3–1,Real Madrid,Athletic Club,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-09-06,Ven,WCQ,Premier tour,Extérieur,V 4–2,pt Portugal,nir Northern Ireland,Y*,,89,3,0,0,0,,,1,0,,,,,,,0,,,Rapport de match
2013-09-14,Sam,La Liga,Journée 4,Extérieur,N 2–2,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-09-17,Mar,Champions Lg,Phase de groupe,Extérieur,V 6–1,es Real Madrid,tr Galatasaray,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-09-22,Dim,La Liga,Journée 5,Domicile,V 4–1,Real Madrid,Getafe,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Rapport de match
2013-09-25,Mer,La Liga,Journée 6,Extérieur,V 2–1,Real Madrid,Elche,Y,,90,2,,1,,,,1,0,,,,,,,0,,,Rapport de match
2013-09-28,Sam,La Liga,Journée 7,Domicile,D 0–1,Real Madrid,Atlético Madrid,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-10-02,Mer,Champions Lg,Phase de groupe,Domicile,V 4–0,es Real Madrid,dk FC Copenhagen,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2013-10-05,Sam,La Liga,Journée 8,Extérieur,V 3–2,Real Madrid,Levante,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Rapport de match
2013-10-11,Ven,WCQ,Premier tour,Domicile,N 1–1,pt Portugal,il Israël,Y*,,90,0,0,0,0,,,1,0,,,,,,,0,,,Rapport de match
2013-10-19,Sam,La Liga,Journée 9,Domicile,V 2–0,Real Madrid,Málaga,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2013-10-23,Mer,Champions Lg,Phase de groupe,Domicile,V 2–1,es Real Madrid,it Juventus,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Rapport de match
2013-10-26,Sam,La Liga,Journée 10,Extérieur,D 1–2,Real Madrid,Barcelona,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
