Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2009-08-29,Sam,La Liga,Journée 1,Domicile,V 3–2,Real Madrid,La Coruña,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-05,Sam,WCQ,Premier tour,Extérieur,N 1–1,pt Portugal,dk Danemark,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2009-09-09,Mer,WCQ,Premier tour,Extérieur,V 1–0,pt Portugal,hu Hongrie,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2009-09-12,Sam,La Liga,Journée 2,Extérieur,V 3–0,Real Madrid,Espanyol,N,,26,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-15,Mar,Champions Lg,Phase de groupe,Extérieur,V 5–2,es Real Madrid,ch Zürich,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-20,Dim,La Liga,Journée 3,Domicile,V 5–0,Real Madrid,Xerez,Y,,77,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-23,Mer,La Liga,Journée 4,Extérieur,V 2–0,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-26,Sam,La Liga,Journée 5,Domicile,V 3–0,Real Madrid,Tenerife,Y,,77,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-09-30,Mer,Champions Lg,Phase de groupe,Domicile,V 3–0,es Real Madrid,fr Marseille,Y,,69,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-10-10,Sam,WCQ,Premier tour,Domicile,V 3–0,pt Portugal,hu Hongrie,Y,,16,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2009-11-25,Mer,Champions Lg,Phase de groupe,Domicile,V 1–0,es Real Madrid,ch Zürich,N,,21,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-11-29,Dim,La Liga,Journée 12,Extérieur,D 0–1,Real Madrid,Barcelona,Y,,64,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2009-12-05,Sam,La Liga,Journée 13,Domicile,V 4–2,Real Madrid,Almería,Y,,86,1,,0,,,,2,1,,,,,,,0,,,Rapport de match
2009-12-08,Mar,Champions Lg,Phase de groupe,Extérieur,V 3–1,es Real Madrid,fr Marseille,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-19,Sam,La Liga,Journée 15,Domicile,V 6–0,Real Madrid,Zaragoza,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-01-03,Dim,La Liga,Journée 16,Extérieur,N 0–0,Real Madrid,Osasuna,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-01-10,Dim,La Liga,Journée 17,Domicile,V 2–0,Real Madrid,Mallorca,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-01-16,Sam,La Liga,Journée 18,Extérieur,D 0–1,Real Madrid,Athletic Club,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2010-01-24,Dim,La Liga,Journée 19,Domicile,V 2–0,Real Madrid,Málaga,Y,,69,2,,0,,,,0,1,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-13,Sam,La Liga,Journée 22,Extérieur,V 3–0,Real Madrid,Xerez,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-02-16,Mar,Champions Lg,Huitièmes de finale,Extérieur,D 0–1,es Real Madrid,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-02-21,Dim,La Liga,Journée 23,Domicile,V 6–2,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-02-27,Sam,La Liga,Journée 24,Extérieur,V 5–1,Real Madrid,Tenerife,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-06,Sam,La Liga,Journée 25,Domicile,V 3–2,Real Madrid,Sevilla,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-10,Mer,Champions Lg,Huitièmes de finale,Domicile,N 1–1,es Real Madrid,fr Lyon,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-14,Dim,La Liga,Journée 26,Extérieur,V 4–1,Real Madrid,Valladolid,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-20,Sam,La Liga,Journée 27,Domicile,V 3–1,Real Madrid,Sporting Gijón,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-25,Jeu,La Liga,Journée 28,Extérieur,V 4–2,Real Madrid,Getafe,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-03-28,Dim,La Liga,Journée 29,Domicile,V 3–2,Real Madrid,Atlético Madrid,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-04-04,Dim,La Liga,Journée 30,Extérieur,V 2–0,Real Madrid,Racing Sant,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-04-10,Sam,La Liga,Journée 31,Domicile,D 0–2,Real Madrid,Barcelona,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-04-15,Jeu,La Liga,Journée 32,Extérieur,V 2–1,Real Madrid,Almería,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-04-18,Dim,La Liga,Journée 33,Domicile,V 2–0,Real Madrid,Valencia,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Rapport de match
2010-04-24,Sam,La Liga,Journée 34,Extérieur,V 2–1,Real Madrid,Zaragoza,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-05-02,Dim,La Liga,Journée 35,Domicile,V 3–2,Real Madrid,Osasuna,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-05-05,Mer,La Liga,Journée 36,Extérieur,V 4–1,Real Madrid,Mallorca,Y,,80,3,,0,,,,0,0,,,,,,,0,,,Rapport de match
2010-05-08,Sam,La Liga,Journée 37,Domicile,V 5–1,Real Madrid,Athletic Club,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2010-05-16,Dim,La Liga,Journée 38,Extérieur,N 1–1,Real Madrid,Málaga,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
