Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2020-09-08,Mar,Ligue des Nations UEFA,League A,Extérieur,V 2–0,pt Portugal,se Suède,Y*,FW,80,2,0,0,0,7,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-09-20,Dim,Serie A,Journée 1,Domicile,V 3–0,Juventus,Sampdoria,Y,FW,90,1,0,0,0,10,3,0,0,50,0,0,1,0.8,0.8,0.1,4,0,27,32,84.4,2,30,7,1,0,Rapport de match
2020-09-27,Dim,Serie A,Journée 2,Extérieur,N 2–2,Juventus,Roma,Y,FW,90,2,0,1,1,3,2,0,0,40,0,0,1,1.7,0.9,0.0,2,1,21,29,72.4,1,21,4,3,1,Rapport de match
2020-10-07,Mer,Matchs amicaux (H),Matchs amicaux (H),Domicile,N 0–0,pt Portugal,es Espagne,Y*,FW,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2020-10-11,Dim,Ligue des Nations UEFA,League A,Extérieur,N 0–0,pt Portugal,fr France,Y*,FW,90,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-11-01,Dim,Serie A,Journée 6,Extérieur,V 4–1,Juventus,Spezia,N,FW,35,2,0,1,1,1,1,0,0,13,0,0,0,1.4,0.6,0.0,1,1,7,9,77.8,2,8,3,1,1,Rapport de match
2020-11-04,Mer,Champions Lg,Phase de groupe,Extérieur,V 4–1,it Juventus,hu Ferencváros,Y,RW,90,0,1,0,0,5,2,0,0,43,0,0,0,0.4,0.4,0.4,3,1,27,33,81.8,3,35,0,3,1,Rapport de match
2020-11-08,Dim,Serie A,Journée 7,Extérieur,N 1–1,Juventus,Lazio,Y,FW,75,1,0,0,0,5,3,0,0,42,0,1,1,1.0,1.0,0.0,4,0,21,31,67.7,1,23,8,2,1,Rapport de match
2020-11-11,Mer,Matchs amicaux (H),Matchs amicaux (H),Domicile,V 7–0,pt Portugal,ad Andorre,N,,45,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2020-11-14,Sam,Ligue des Nations UEFA,League A,Domicile,D 0–1,pt Portugal,fr France,Y*,FW,90,0,0,0,0,6,1,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2020-11-17,Mar,Ligue des Nations UEFA,League A,Extérieur,V 3–2,pt Portugal,hr Croatie,Y*,FW,90,0,0,0,0,2,1,1,0,,,1,,,,,,,,,,,,,,,Rapport de match
2020-11-21,Sam,Serie A,Journée 8,Domicile,V 2–0,Juventus,Cagliari,Y,FW,90,2,0,0,0,5,2,0,0,81,2,0,0,0.6,0.6,0.1,7,0,61,72,84.7,9,42,13,1,1,Rapport de match
2020-11-24,Mar,Champions Lg,Phase de groupe,Domicile,V 2–1,it Juventus,hu Ferencváros,Y,FW,90,1,0,0,0,2,1,0,0,46,0,0,1,0.1,0.1,0.1,4,1,28,36,77.8,1,28,1,5,2,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,Mer,Champions Lg,Phase de groupe,Domicile,V 3–0,it Juventus,ua Dynamo Kyiv,Y,FW,90,1,0,0,0,6,2,0,0,50,0,0,0,1.4,1.4,0.0,4,0,25,36,69.4,5,37,7,4,4,Rapport de match
2020-12-05,Sam,Serie A,Journée 10,Domicile,V 2–1,Juventus,Torino,Y,FW,90,0,0,0,0,3,0,0,0,46,0,0,0,0.1,0.1,0.4,4,0,24,36,66.7,5,37,8,2,1,Rapport de match
2020-12-08,Mar,Champions Lg,Phase de groupe,Extérieur,V 3–0,it Juventus,es Barcelona,Y,FW,89,2,0,2,2,2,1,0,0,49,0,1,0,2.3,0.7,0.0,2,1,36,43,83.7,1,22,2,1,0,Rapport de match
2020-12-13,Dim,Serie A,Journée 11,Extérieur,V 3–1,Juventus,Genoa,Y,FWLW,90,2,0,2,2,6,3,0,0,53,0,0,1,2.6,1.0,0.0,1,0,26,40,65.0,1,28,2,1,1,Rapport de match
2020-12-16,Mer,Serie A,Journée 12,Domicile,N 1–1,Juventus,Atalanta,Y,FWLW,90,0,0,0,1,2,0,0,0,40,0,1,0,1.2,0.5,0.5,3,0,23,31,74.2,2,17,3,1,1,Rapport de match
2020-12-19,Sam,Serie A,Journée 13,Extérieur,V 4–0,Juventus,Parma,Y,FW,81,2,0,0,0,5,2,0,0,71,1,0,0,0.5,0.5,0.1,4,0,48,55,87.3,4,36,3,6,2,Rapport de match
