Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2012-08-19,Dim,La Liga,Journée 1,Domicile,N 1–1,Real Madrid,Valencia,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-08-26,Dim,La Liga,Journée 2,Extérieur,D 1–2,Real Madrid,Getafe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-09-02,Dim,La Liga,Journée 3,Domicile,V 3–0,Real Madrid,Granada,Y,,62,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-09-07,Ven,WCQ,Premier tour,Extérieur,V 2–1,pt Portugal,lu Luxembourg,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2012-09-11,Mar,WCQ,Premier tour,Domicile,V 3–0,pt Portugal,az Azerbaïdjan,Y*,,90,0,1,0,0,,,1,0,,,,,,,0,,,Rapport de match
2012-09-15,Sam,La Liga,Journée 4,Extérieur,D 0–1,Real Madrid,Sevilla,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-09-18,Mar,Champions Lg,Phase de groupe,Domicile,V 3–2,es Real Madrid,eng Manchester City,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-09-24,Lun,La Liga,Journée 5,Extérieur,V 2–0,Real Madrid,Rayo Vallecano,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
2012-09-30,Dim,La Liga,Journée 6,Domicile,V 5–1,Real Madrid,La Coruña,Y,,90,3,,2,,,,0,0,,,,,,,0,,,Rapport de match
2012-10-03,Mer,Champions Lg,Phase de groupe,Extérieur,V 4–1,es Real Madrid,nl Ajax,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-10-07,Dim,La Liga,Journée 7,Extérieur,N 2–2,Real Madrid,Barcelona,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2012-10-12,Ven,WCQ,Premier tour,Extérieur,D 0–1,pt Portugal,ru Russie,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2012-10-16,Mar,WCQ,Premier tour,Domicile,N 1–1,pt Portugal,nir Northern Ireland,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2012-10-20,Sam,La Liga,Journée 8,Domicile,V 2–0,Real Madrid,Celta Vigo,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Rapport de match
