Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2004-07-04,Dim,UEFA Euro,Finale,Domicile,D 0–1,pt Portugal,gr Grèce,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-08-21,Sam,Premier League,Journée 2,Domicile,V 2–1,Manchester Utd,Norwich City,N,,6,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-08-25,Mer,Champions Lg,Troisième tour de qualification,Domicile,V 3–0,eng Manchester Utd,ro Dinamo București,Y,,63,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-08-28,Sam,Premier League,Journée 4,Extérieur,N 1–1,Manchester Utd,Blackburn,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-08-30,Lun,Premier League,Journée 3,Domicile,N 0–0,Manchester Utd,Everton,Y,,80,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-09-04,Sam,WCQ,Premier tour,Extérieur,V 2–0,pt Portugal,lv Lettonie,Y,,81,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-09-08,Mer,WCQ,Premier tour,Domicile,V 4–0,pt Portugal,ee Estonie,Y,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-09-11,Sam,Premier League,Journée 5,Extérieur,N 2–2,Manchester Utd,Bolton,N,,27,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-09-15,Mer,Champions Lg,Phase de groupe,Extérieur,N 2–2,eng Manchester Utd,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-09-20,Lun,Premier League,Journée 6,Domicile,V 2–1,Manchester Utd,Liverpool,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-09-25,Sam,Premier League,Journée 7,Extérieur,V 1–0,Manchester Utd,Tottenham,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-10-03,Dim,Premier League,Journée 8,Domicile,N 1–1,Manchester Utd,Middlesbrough,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-10-09,Sam,WCQ,Premier tour,Extérieur,N 2–2,pt Portugal,li Liechtenstein,Y,,61,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-10-13,Mer,WCQ,Premier tour,Domicile,V 7–1,pt Portugal,ru Russie,Y,,84,2,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-10-16,Sam,Premier League,Journée 9,Extérieur,N 0–0,Manchester Utd,Birmingham City,Y,,76,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-10-19,Mar,Champions Lg,Phase de groupe,Extérieur,N 0–0,eng Manchester Utd,cz Sparta Prague,N,,11,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-10-24,Dim,Premier League,Journée 10,Domicile,V 2–0,Manchester Utd,Arsenal,Y,,84,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-10-30,Sam,Premier League,Journée 11,Extérieur,D 0–2,Manchester Utd,Portsmouth,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-11-03,Mer,Champions Lg,Phase de groupe,Domicile,V 4–1,eng Manchester Utd,cz Sparta Prague,Y,,68,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-11-07,Dim,Premier League,Journée 12,Domicile,N 0–0,Manchester Utd,Manchester City,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-11-14,Dim,Premier League,Journée 13,Extérieur,V 3–1,Manchester Utd,Newcastle Utd,Y,,82,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-11-17,Mer,WCQ,Premier tour,Extérieur,V 5–0,pt Portugal,lu Luxembourg,Y,,90,1,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2004-11-23,Mar,Champions Lg,Phase de groupe,Domicile,V 2–1,eng Manchester Utd,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-11-27,Sam,Premier League,Journée 15,Extérieur,V 3–0,Manchester Utd,West Brom,N,,19,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-12-04,Sam,Premier League,Journée 16,Domicile,V 3–0,Manchester Utd,Southampton,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-12-08,Mer,Champions Lg,Phase de groupe,Extérieur,D 0–3,eng Manchester Utd,tr Fenerbahçe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-12-13,Lun,Premier League,Journée 17,Extérieur,N 1–1,Manchester Utd,Fulham,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-26,Dim,Premier League,Journée 19,Domicile,V 2–0,Manchester Utd,Bolton,Y,,68,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2004-12-28,Mar,Premier League,Journée 20,Extérieur,V 1–0,Manchester Utd,Aston Villa,N,,30,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-01-01,Sam,Premier League,Journée 21,Extérieur,V 2–0,Manchester Utd,Middlesbrough,Y,,77,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-01-04,Mar,Premier League,Journée 22,Domicile,N 0–0,Manchester Utd,Tottenham,Y,,83,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-01-15,Sam,Premier League,Journée 23,Extérieur,V 1–0,Manchester Utd,Liverpool,Y,,66,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-01-22,Sam,Premier League,Journée 24,Domicile,V 3–1,Manchester Utd,Aston Villa,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-02-01,Mar,Premier League,Journée 25,Extérieur,V 4–2,Manchester Utd,Arsenal,Y,,69,2,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-02-05,Sam,Premier League,Journée 26,Domicile,V 2–0,Manchester Utd,Birmingham City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-02-13,Dim,Premier League,Journée 27,Extérieur,V 2–0,Manchester Utd,Manchester City,N,,58,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-02-23,Mer,Champions Lg,Huitièmes de finale,Domicile,D 0–1,eng Manchester Utd,it Milan,Y,,62,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-02-26,Sam,Premier League,Journée 28,Domicile,V 2–1,Manchester Utd,Portsmouth,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-03-05,Sam,Premier League,Journée 29,Extérieur,N 0–0,Manchester Utd,Crystal Palace,N,,35,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-03-08,Mar,Champions Lg,Huitièmes de finale,Extérieur,D 0–1,eng Manchester Utd,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
