Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2014-08-12,Mar,Super Cup,Supercoupe UEFA,Terrain neutre,V 2–0,es Real Madrid,es Sevilla,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-08-25,Lun,La Liga,Journée 1,Domicile,V 2–0,Real Madrid,Córdoba,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-13,Sam,La Liga,Journée 3,Domicile,D 1–2,Real Madrid,Atlético Madrid,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2014-09-16,Mar,Champions Lg,Phase de groupe,Domicile,V 5–1,es Real Madrid,ch Basel,Y,,90,1,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-09-20,Sam,La Liga,Journée 4,Extérieur,V 8–2,Real Madrid,La Coruña,Y,,90,3,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-09-23,Mar,La Liga,Journée 5,Domicile,V 5–1,Real Madrid,Elche,Y,,90,4,0,2,2,,,0,0,,,,,,,0,,,Rapport de match
2014-09-27,Sam,La Liga,Journée 6,Extérieur,V 2–0,Real Madrid,Villarreal,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-10-01,Mer,Champions Lg,Phase de groupe,Extérieur,V 2–1,es Real Madrid,bg Ludogorets,Y,,90,1,0,1,2,,,0,0,,,,,,,0,,,Rapport de match
2014-10-05,Dim,La Liga,Journée 7,Domicile,V 5–0,Real Madrid,Athletic Club,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-10-11,Sam,Matchs amicaux (H),Matchs amicaux (H),Extérieur,D 1–2,pt Portugal,fr France,Y*,FW,75,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-10-14,Mar,Qualifications Euro,Phase de groupe,Extérieur,V 1–0,pt Portugal,dk Danemark,Y*,FW,90,1,0,0,0,6,3,1,0,2,2,3,1,1,1,0,0,0,Rapport de match
2014-10-18,Sam,La Liga,Journée 8,Extérieur,V 5–0,Real Madrid,Levante,Y,,90,2,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2014-10-22,Mer,Champions Lg,Phase de groupe,Extérieur,V 3–0,es Real Madrid,eng Liverpool,Y,,75,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-10-25,Sam,La Liga,Journée 9,Domicile,V 3–1,Real Madrid,Barcelona,Y,,90,1,0,1,1,,,1,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,Sam,La Liga,Journée 10,Extérieur,V 4–0,Real Madrid,Granada,Y,,90,1,2,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-11-04,Mar,Champions Lg,Phase de groupe,Domicile,V 1–0,es Real Madrid,eng Liverpool,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-11-08,Sam,La Liga,Journée 11,Domicile,V 5–1,Real Madrid,Rayo Vallecano,Y,,90,1,2,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-11-14,Ven,Qualifications Euro,Phase de groupe,Domicile,V 1–0,pt Portugal,am Arménie,Y*,LM,90,1,0,0,0,9,3,0,0,0,1,1,3,0,0,0,0,0,Rapport de match
2014-11-18,Mar,Matchs amicaux (H),Matchs amicaux (H),Extérieur,V 1–0,pt Portugal,ar Argentine,Y*,FW,45,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-11-22,Sam,La Liga,Journée 12,Extérieur,V 4–0,Real Madrid,Eibar,Y,,83,2,1,1,1,,,0,0,,,,,,,0,,,Rapport de match
2014-11-26,Mer,Champions Lg,Phase de groupe,Extérieur,V 1–0,es Real Madrid,ch Basel,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2014-11-29,Sam,La Liga,Journée 13,Extérieur,V 2–1,Real Madrid,Málaga,Y,,90,0,2,0,0,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-06,Sam,La Liga,Journée 14,Domicile,V 3–0,Real Madrid,Celta Vigo,Y,,84,3,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2014-12-09,Mar,Champions Lg,Phase de groupe,Domicile,V 4–0,es Real Madrid,bg Ludogorets,Y,,90,1,1,1,1,,,0,0,,,,,,,0,,,Rapport de match
2014-12-12,Ven,La Liga,Journée 15,Extérieur,V 4–1,Real Madrid,Almería,Y,,90,2,0,0,0,,,1,0,,,,,,,0,,,Rapport de match
2015-01-04,Dim,La Liga,Journée 17,Extérieur,D 1–2,Real Madrid,Valencia,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2015-01-07,Mer,Copa del Rey,Huitièmes de finale,Extérieur,D 0–2,Real Madrid,Atlético Madrid,N,,28,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-01-10,Sam,La Liga,Journée 18,Domicile,V 3–0,Real Madrid,Espanyol,Y,,90,0,1,0,0,,,1,0,,,,,,,0,,,Rapport de match
2015-01-15,Jeu,Copa del Rey,Huitièmes de finale,Domicile,N 2–2,Real Madrid,Atlético Madrid,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-01-18,Dim,La Liga,Journée 19,Extérieur,V 3–0,Real Madrid,Getafe,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-01-24,Sam,La Liga,Journée 20,Extérieur,V 2–1,Real Madrid,Córdoba,Y,,81,0,0,0,0,,,0,1,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-07,Sam,La Liga,Journée 22,Extérieur,D 0–4,Real Madrid,Atlético Madrid,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-02-14,Sam,La Liga,Journée 23,Domicile,V 2–0,Real Madrid,La Coruña,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-02-18,Mer,Champions Lg,Huitièmes de finale,Extérieur,V 2–0,es Real Madrid,de Schalke 04,Y,,90,1,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-02-22,Dim,La Liga,Journée 24,Extérieur,V 2–0,Real Madrid,Elche,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-03-01,Dim,La Liga,Journée 25,Domicile,N 1–1,Real Madrid,Villarreal,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2015-03-07,Sam,La Liga,Journée 26,Extérieur,D 0–1,Real Madrid,Athletic Club,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-03-10,Mar,Champions Lg,Huitièmes de finale,Domicile,D 3–4,es Real Madrid,de Schalke 04,Y,,90,2,0,0,0,,,1,0,,,,,,,0,,,Rapport de match
2015-03-15,Dim,La Liga,Journée 27,Domicile,V 2–0,Real Madrid,Levante,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-03-22,Dim,La Liga,Journée 28,Extérieur,D 1–2,Real Madrid,Barcelona,Y,,90,1,0,0,0,,,1,0,,,,,,,0,,,Rapport de match
2015-03-29,Dim,Qualifications Euro,Phase de groupe,Domicile,V 2–1,pt Portugal,rs Serbie,Y*,FW,90,0,0,0,0,2,1,0,0,1,4,0,1,0,0,0,0,0,Rapport de match
2015-04-05,Dim,La Liga,Journée 29,Domicile,V 9–1,Real Madrid,Granada,Y,,90,5,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-04-08,Mer,La Liga,Journée 30,Extérieur,V 2–0,Real Madrid,Rayo Vallecano,Y,,90,1,1,0,0,,,1,0,,,,,,,0,,,Rapport de match
2015-04-11,Sam,La Liga,Journée 31,Domicile,V 3–0,Real Madrid,Eibar,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-04-14,Mar,Champions Lg,Quarts de finale,Extérieur,N 0–0,es Real Madrid,es Atlético Madrid,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-04-18,Sam,La Liga,Journée 32,Domicile,V 3–1,Real Madrid,Málaga,Y,,90,1,1,0,1,,,0,0,,,,,,,0,,,Rapport de match
2015-04-22,Mer,Champions Lg,Quarts de finale,Domicile,V 1–0,es Real Madrid,es Atlético Madrid,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-04-26,Dim,La Liga,Journée 33,Extérieur,V 4–2,Real Madrid,Celta Vigo,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-04-29,Mer,La Liga,Journée 34,Domicile,V 3–0,Real Madrid,Almería,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-05-02,Sam,La Liga,Journée 35,Extérieur,V 3–2,Real Madrid,Sevilla,Y,,90,3,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-05-05,Mar,Champions Lg,Demi-finales,Extérieur,D 1–2,es Real Madrid,it Juventus,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-05-09,Sam,La Liga,Journée 36,Domicile,N 2–2,Real Madrid,Valencia,Y,,90,0,0,0,1,,,0,0,,,,,,,0,,,Rapport de match
2015-05-13,Mer,Champions Lg,Demi-finales,Domicile,N 1–1,es Real Madrid,it Juventus,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2015-05-17,Dim,La Liga,Journée 37,Extérieur,V 4–1,Real Madrid,Espanyol,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-05-23,Sam,La Liga,Journée 38,Domicile,V 7–3,Real Madrid,Getafe,Y,,57,3,0,1,1,,,0,0,,,,,,,0,,,Rapport de match
2015-06-13,Sam,Qualifications Euro,Phase de groupe,Extérieur,V 3–2,pt Portugal,am Arménie,Y*,FW,90,3,0,1,1,3,3,0,0,1,2,2,2,1,2,0,0,0,Rapport de match
,,,,,42-5-9,,,55/56,,4848,66,19,14,17,20,10,7,1,4,9,6,7,2,3,0,0,0,
