Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2021-12-30,Jeu,Premier League,Journée 20,Domicile,V 3–1,Manchester Utd,Burnley,Y,FW,89,1,1,0,0,7,1,0,0,45,1,0,1,1.9,1.9,0.1,2,1,22,34,64.7,3,19,5,0,0,Rapport de match
2022-01-03,Lun,Premier League,Journée 21,Domicile,D 0–1,Manchester Utd,Wolves,Y*,FW,90,0,0,0,0,2,1,0,0,49,1,0,0,0.1,0.1,0.1,1,0,29,39,74.4,1,23,3,0,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,Mer,Premier League,Journée 17,Extérieur,V 3–1,Manchester Utd,Brentford,Y,FW,70,0,0,0,0,3,0,0,0,33,1,0,1,0.1,0.1,0.0,3,1,21,27,77.8,5,21,2,0,0,Rapport de match
2022-01-22,Sam,Premier League,Journée 23,Domicile,V 1–0,Manchester Utd,West Ham,Y,FW,90,0,0,0,0,3,1,0,0,46,0,0,0,0.3,0.3,0.1,6,0,32,39,82.1,6,25,3,0,0,Rapport de match
2022-02-04,Ven,FA Cup,Quatrième tour proprement dit,Domicile,N 1 (7)–1 (8),Manchester Utd,Middlesbrough,Y,FW,120,0,0,0,1,10,3,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-02-08,Mar,Premier League,Journée 24,Extérieur,N 1–1,Manchester Utd,Burnley,N,FW,23,0,0,0,0,3,0,0,0,9,0,0,0,0.2,0.2,0.0,1,0,5,6,83.3,1,4,0,0,0,Rapport de match
2022-02-12,Sam,Premier League,Journée 25,Domicile,N 1–1,Manchester Utd,Southampton,Y,FW,90,0,0,0,0,2,1,0,0,28,1,0,0,0.7,0.7,0.2,2,0,10,14,71.4,0,11,0,4,2,Rapport de match
2022-02-15,Mar,Premier League,Journée 18,Domicile,V 2–0,Manchester Utd,Brighton,Y,FW,90,1,0,0,0,5,2,0,0,36,0,0,1,0.5,0.5,0.8,5,1,21,26,80.8,4,15,1,2,2,Rapport de match
2022-02-20,Dim,Premier League,Journée 26,Extérieur,V 4–2,Manchester Utd,Leeds United,Y,FW,84,0,0,0,0,2,1,1,0,26,0,0,0,0.7,0.7,0.1,4,0,20,22,90.9,2,12,0,0,0,Rapport de match
2022-02-23,Mer,Champions Lg,Huitièmes de finale,Extérieur,N 1–1,eng Manchester Utd,es Atlético Madrid,Y,FW,90,0,0,0,0,2,0,0,0,35,1,0,1,0.1,0.1,0.0,0,0,22,25,88.0,0,17,1,0,0,Rapport de match
2022-02-26,Sam,Premier League,Journée 27,Domicile,N 0–0,Manchester Utd,Watford,Y,FW,90,0,0,0,0,4,1,0,0,32,1,0,0,0.5,0.5,0.2,5,0,18,19,94.7,2,20,1,2,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,Sam,Premier League,Journée 29,Domicile,V 3–2,Manchester Utd,Tottenham,Y,FW,82,3,0,0,0,8,5,0,0,52,0,1,0,0.9,0.9,0.0,3,0,38,40,95.0,1,23,3,0,0,Rapport de match
2022-03-15,Mar,Champions Lg,Huitièmes de finale,Domicile,D 0–1,eng Manchester Utd,es Atlético Madrid,Y,FW,90,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.0,3,0,34,37,91.9,2,29,4,4,3,Rapport de match
2022-03-24,Jeu,WCQ,Demi-finales,Domicile,V 3–1,pt Portugal,tr Turquie,Y*,FW,90,0,0,0,0,5,2,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-03-29,Mar,WCQ,Finales,Domicile,V 2–0,pt Portugal,mk N. Macedonia,Y*,FW,90,0,1,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-04-09,Sam,Premier League,Journée 32,Extérieur,D 0–1,Manchester Utd,Everton,Y,FW,90,0,0,0,0,2,1,1,0,38,0,0,0,0.1,0.1,0.0,4,0,24,30,80.0,2,26,2,1,1,Rapport de match
2022-04-16,Sam,Premier League,Journée 33,Domicile,V 3–2,Manchester Utd,Norwich City,Y,FW,90,3,0,0,0,8,5,0,0,44,0,0,0,1.3,1.3,0.0,3,0,32,36,88.9,2,24,4,0,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-23,Sam,Premier League,Journée 34,Extérieur,D 1–3,Manchester Utd,Arsenal,Y,FW,90,1,0,0,0,3,1,1,0,40,1,0,0,0.5,0.5,0.1,5,0,20,30,66.7,4,21,2,1,0,Rapport de match
2022-04-28,Jeu,Premier League,Journée 37,Domicile,N 1–1,Manchester Utd,Chelsea,Y,FW,90,1,0,0,0,3,1,0,0,57,0,0,1,0.4,0.4,0.0,1,0,29,42,69.0,4,36,3,2,2,Rapport de match
2022-05-02,Lun,Premier League,Journée 35,Domicile,V 3–0,Manchester Utd,Brentford,Y,FW,90,1,0,1,1,1,1,0,0,83,1,0,0,0.8,0.0,0.1,4,1,68,75,90.7,2,59,9,1,0,Rapport de match
2022-05-07,Sam,Premier League,Journée 36,Extérieur,D 0–4,Manchester Utd,Brighton,Y,FW,90,0,0,0,0,5,0,1,0,46,0,0,0,0.3,0.3,0.0,1,0,25,37,67.6,2,23,3,0,0,Rapport de match
2022-06-02,Jeu,Ligue des Nations UEFA,League A,Extérieur,N 1–1,pt Portugal,es Espagne,N,,29,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-06-05,Dim,Ligue des Nations UEFA,League A,Domicile,V 4–0,pt Portugal,ch Suisse,Y*,FW,90,2,1,0,0,7,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-06-09,Jeu,Ligue des Nations UEFA,League A,Domicile,V 2–0,pt Portugal,cz République tchèque,Y*,FW,90,0,0,0,0,3,2,1,0,,,0,,,,,,,,,,,,,,,Rapport de match
,,,,,24-13-12,,,44/49,,4011,32,5,5,7,181,73,12,0,1460,12,2,14,20.8,18.4,3.4,104,11,913,1126,81.1,85,774,85,48,30,
