Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2005-08-09,Mar,Champions Lg,Troisième tour de qualification,Domicile,V 3–0,eng Manchester Utd,hu Debrecen,Y,,66,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-20,Sam,Premier League,Journée 2,Domicile,V 1–0,Manchester Utd,Aston Villa,N,,32,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-08-24,Mer,Champions Lg,Troisième tour de qualification,Extérieur,V 3–0,eng Manchester Utd,hu Debrecen,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-08-28,Dim,Premier League,Journée 4,Extérieur,V 2–0,Manchester Utd,Newcastle Utd,Y,,84,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-09-03,Sam,WCQ,Premier tour,Domicile,V 6–0,pt Portugal,lu Luxembourg,Y,,61,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2005-09-07,Mer,WCQ,Premier tour,Extérieur,N 0–0,pt Portugal,ru Russie,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2005-09-14,Mer,Champions Lg,Phase de groupe,Extérieur,N 0–0,eng Manchester Utd,es Villarreal,Y,,79,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-09-18,Dim,Premier League,Journée 6,Extérieur,N 0–0,Manchester Utd,Liverpool,Y,,89,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-09-24,Sam,Premier League,Journée 7,Domicile,D 1–2,Manchester Utd,Blackburn,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-09-27,Mar,Champions Lg,Phase de groupe,Domicile,V 2–1,eng Manchester Utd,pt Benfica,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-10-01,Sam,Premier League,Journée 8,Extérieur,V 3–2,Manchester Utd,Fulham,N,,14,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-10-08,Sam,WCQ,Premier tour,Domicile,V 2–1,pt Portugal,li Liechtenstein,Y,,83,0,,0,0,,,1,0,,,,,,,0,,,Rapport de match
2005-10-12,Mer,WCQ,Premier tour,Domicile,V 3–0,pt Portugal,lv Lettonie,Y,,45,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
2005-10-15,Sam,Premier League,Journée 9,Extérieur,V 3–1,Manchester Utd,Sunderland,Y,,88,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-10-18,Mar,Champions Lg,Phase de groupe,Domicile,N 0–0,eng Manchester Utd,fr Lille,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-10-22,Sam,Premier League,Journée 10,Domicile,N 1–1,Manchester Utd,Tottenham,N,,16,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-10-29,Sam,Premier League,Journée 11,Extérieur,D 1–4,Manchester Utd,Middlesbrough,N,,31,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-11-02,Mer,Champions Lg,Phase de groupe,Extérieur,D 0–1,eng Manchester Utd,fr Lille,Y,,88,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-11-06,Dim,Premier League,Journée 12,Domicile,V 1–0,Manchester Utd,Chelsea,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-11-19,Sam,Premier League,Journée 13,Extérieur,V 3–1,Manchester Utd,Charlton Ath,Y,,74,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-11-22,Mar,Champions Lg,Phase de groupe,Domicile,N 0–0,eng Manchester Utd,es Villarreal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-03,Sam,Premier League,Journée 15,Domicile,V 3–0,Manchester Utd,Portsmouth,N,,26,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-12-07,Mer,Champions Lg,Phase de groupe,Extérieur,D 1–2,eng Manchester Utd,pt Benfica,Y,,66,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-12-11,Dim,Premier League,Journée 16,Domicile,N 1–1,Manchester Utd,Everton,N,,27,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-12-14,Mer,Premier League,Journée 3,Domicile,V 4–0,Manchester Utd,Wigan Athletic,N,,21,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2005-12-17,Sam,Premier League,Journée 17,Extérieur,V 2–0,Manchester Utd,Aston Villa,N,,29,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-28,Mer,Premier League,Journée 19,Extérieur,N 2–2,Manchester Utd,Birmingham City,Y,,82,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2005-12-31,Sam,Premier League,Journée 20,Domicile,V 4–1,Manchester Utd,Bolton,Y,,90,2,,0,,,,1,0,,,,,,,0,,,Rapport de match
2006-01-03,Mar,Premier League,Journée 21,Extérieur,N 0–0,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-01-14,Sam,Premier League,Journée 22,Extérieur,D 1–3,Manchester Utd,Manchester City,Y,,65,0,,0,,,,0,1,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,Mer,Premier League,Journée 24,Extérieur,D 3–4,Manchester Utd,Blackburn,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-02-04,Sam,Premier League,Journée 25,Domicile,V 4–2,Manchester Utd,Fulham,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-02-11,Sam,Premier League,Journée 26,Extérieur,V 3–1,Manchester Utd,Portsmouth,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-03-06,Lun,Premier League,Journée 28,Extérieur,V 2–1,Manchester Utd,Wigan Athletic,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-03-12,Dim,Premier League,Journée 29,Domicile,V 2–0,Manchester Utd,Newcastle Utd,Y,,74,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-03-18,Sam,Premier League,Journée 30,Extérieur,V 2–1,Manchester Utd,West Brom,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-03-26,Dim,Premier League,Journée 31,Domicile,V 3–0,Manchester Utd,Birmingham City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-03-29,Mer,Premier League,Journée 27,Domicile,V 1–0,Manchester Utd,West Ham,Y,,86,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-04-01,Sam,Premier League,Journée 32,Extérieur,V 2–1,Manchester Utd,Bolton,Y,,89,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2006-04-09,Dim,Premier League,Journée 33,Domicile,V 2–0,Manchester Utd,Arsenal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-04-14,Ven,Premier League,Journée 34,Domicile,N 0–0,Manchester Utd,Sunderland,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-04-17,Lun,Premier League,Journée 35,Extérieur,V 2–1,Manchester Utd,Tottenham,Y,,89,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-04-29,Sam,Premier League,Journée 37,Extérieur,D 0–3,Manchester Utd,Chelsea,Y,,63,0,0,0,,,,1,0,,,,,,,0,,,Rapport de match
2006-05-01,Lun,Premier League,Journée 36,Domicile,N 0–0,Manchester Utd,Middlesbrough,N,,35,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-05-07,Dim,Premier League,Journée 38,Domicile,V 4–0,Manchester Utd,Charlton Ath,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2006-06-11,Dim,World Cup,Phase de groupe,Terrain neutre,V 1–0,pt Portugal,ao Angola,Y,,59,0,,0,0,,,1,0,,,,,,,0,,,Rapport de match
2006-06-17,Sam,World Cup,Phase de groupe,Terrain neutre,V 2–0,pt Portugal,ir Iran,Y,,90,1,,1,1,,,0,0,,,,,,,0,,,Rapport de match
2006-06-25,Dim,World Cup,Huitièmes de finale,Terrain neutre,V 1–0,pt Portugal,nl Pays-Bas,Y,,33,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
,,,,,30-11-7,,,39/48,,3404,11,0,1,1,,,11,1,,,,,,,0,,,
