Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2002-08-14,Mer,Champions Lg,Troisième tour de qualification,Domicile,N 0–0,pt Sporting CP,it Inter,N,,33,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-19,Jeu,UEFA Cup,Premier tour,Domicile,D 1–3,pt Sporting CP,rs Partizan,N,,45,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-09-29,Dim,Primeira Liga,Journée 5,Extérieur,D 2–4,Sporting CP,Braga,N,,22,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-10-03,Jeu,UEFA Cup,Premier tour,Extérieur,N 3–3,pt Sporting CP,rs Partizan,Y,,73,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-10-07,Lun,Primeira Liga,Journée 6,Domicile,V 3–0,Sporting CP,Moreirense,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-10-20,Dim,Primeira Liga,Journée 7,Domicile,V 2–0,Sporting CP,Belenenses,Y,,75,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-10-26,Sam,Primeira Liga,Journée 8,Extérieur,V 2–1,Sporting CP,Boavista,N,,9,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-11-02,Sam,Primeira Liga,Journée 9,Domicile,D 0–3,Sporting CP,Gil Vicente,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-11-08,Ven,Primeira Liga,Journée 10,Extérieur,V 3–1,Sporting CP,Vitória,Y,,88,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-11-15,Ven,Primeira Liga,Journée 11,Domicile,V 2–0,Sporting CP,Marítimo,Y,,73,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-11-30,Sam,Primeira Liga,Journée 12,Extérieur,V 3–1,Sporting CP,Beira-Mar,N,,11,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-12-07,Sam,Primeira Liga,Journée 13,Domicile,D 0–2,Sporting CP,Benfica,Y,,53,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-12-14,Sam,Primeira Liga,Journée 14,Extérieur,D 2–3,Sporting CP,União de Leiria,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2002-12-22,Dim,Primeira Liga,Journée 15,Domicile,V 2–0,Sporting CP,Nacional,N,,14,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-01-04,Sam,Primeira Liga,Journée 16,Extérieur,V 2–1,Sporting CP,Vitória Setúbal,N,,21,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-01-11,Sam,Primeira Liga,Journée 17,Domicile,D 0–1,Sporting CP,Porto,N,,21,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-01-25,Sam,Primeira Liga,Journée 19,Extérieur,V 1–0,Sporting CP,Santa Clara,Y,,44,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2003-02-05,Mer,Primeira Liga,Journée 18,Domicile,V 1–0,Sporting CP,Académica,N,,32,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-01,Sam,Primeira Liga,Journée 24,Extérieur,N 1–1,Sporting CP,Belenenses,N,,6,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-03-16,Dim,Primeira Liga,Journée 25,Domicile,N 1–1,Sporting CP,Boavista,N,,30,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-03-21,Ven,Primeira Liga,Journée 26,Extérieur,D 0–1,Sporting CP,Gil Vicente,N,,5,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-04-06,Dim,Primeira Liga,Journée 27,Domicile,N 1–1,Sporting CP,Vitória,N,,24,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-04-19,Sam,Primeira Liga,Journée 28,Extérieur,V 3–0,Sporting CP,Marítimo,N,,16,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-04-25,Ven,Primeira Liga,Journée 29,Domicile,N 1–1,Sporting CP,Beira-Mar,N,,11,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-12,Lun,Primeira Liga,Journée 31,Domicile,N 1–1,Sporting CP,União de Leiria,N,,27,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-05-17,Sam,Primeira Liga,Journée 32,Extérieur,N 1–1,Sporting CP,Nacional,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-05-24,Sam,Primeira Liga,Journée 33,Domicile,D 3–4,Sporting CP,Vitória Setúbal,Y,,61,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-06-01,Dim,Primeira Liga,Journée 34,Extérieur,D 0–2,Sporting CP,Porto,Y,,70,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,11-8-9,,,12/28,,1224,3,,0,,,,1,0,,,,,,,0,,,
