Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2022-06-02,Jeu,Ligue des Nations UEFA,League A,Extérieur,N 1–1,pt Portugal,es Espagne,N,,29,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-06-05,Dim,Ligue des Nations UEFA,League A,Domicile,V 4–0,pt Portugal,ch Suisse,Y*,FW,90,2,1,0,0,7,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-06-09,Jeu,Ligue des Nations UEFA,League A,Domicile,V 2–0,pt Portugal,cz République tchèque,Y*,FW,90,0,0,0,0,3,2,1,0,,,0,,,,,,,,,,,,,,,Rapport de match
2022-08-07,Dim,Premier League,Journée 1,Domicile,D 1–2,Manchester Utd,Brighton,N,FW,38,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,1,4,1,0,0,Rapport de match
2022-08-13,Sam,Premier League,Journée 2,Extérieur,D 0–4,Manchester Utd,Brentford,Y,FW,90,0,0,0,0,6,2,0,0,40,0,0,0,0.3,0.3,0.2,3,0,26,27,96.3,2,19,1,2,0,Rapport de match
2022-08-22,Lun,Premier League,Journée 3,Domicile,V 2–1,Manchester Utd,Liverpool,N,LW,5,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,1,0,0,Rapport de match
2022-08-27,Sam,Premier League,Journée 4,Extérieur,V 1–0,Manchester Utd,Southampton,N,FW,23,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,2,4,1,1,0,Rapport de match
2022-09-01,Jeu,Premier League,Journée 5,Extérieur,V 1–0,Manchester Utd,Leicester City,N,FW,23,0,0,0,0,2,0,0,0,16,0,0,0,0.2,0.2,0.1,2,0,8,13,61.5,1,5,0,1,0,Rapport de match
2022-09-04,Dim,Premier League,Journée 6,Domicile,V 3–1,Manchester Utd,Arsenal,N,FW,33,0,0,0,0,2,0,0,0,15,0,0,0,0.2,0.2,0.0,0,0,7,12,58.3,1,9,1,0,0,Rapport de match
2022-09-08,Jeu,Europa Lg,Phase de groupe,Domicile,D 0–1,eng Manchester Utd,es Real Sociedad,Y,FW,90,0,0,0,0,4,0,0,0,35,0,0,0,0.3,0.3,0.0,1,0,19,23,82.6,3,27,1,4,1,Rapport de match
