Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2011-08-28,Dim,La Liga,Journée 2,Extérieur,V 6–0,Real Madrid,Zaragoza,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-09-02,Ven,Qualifications Euro,Phase de groupe,Extérieur,V 4–0,pt Portugal,cy Chypre,Y*,,90,2,,1,1,,,1,0,,,,,,,0,,,Rapport de match
2011-09-10,Sam,La Liga,Journée 3,Domicile,V 4–2,Real Madrid,Getafe,Y,,90,1,,1,,,,1,0,,,,,,,0,,,Rapport de match
2011-09-14,Mer,Champions Lg,Phase de groupe,Extérieur,V 1–0,es Real Madrid,hr Dinamo Zagreb,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-09-18,Dim,La Liga,Journée 4,Extérieur,D 0–1,Real Madrid,Levante,N,,45,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-09-21,Mer,La Liga,Journée 5,Extérieur,N 0–0,Real Madrid,Racing Sant,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-09-24,Sam,La Liga,Journée 6,Domicile,V 6–2,Real Madrid,Rayo Vallecano,Y,,90,3,,2,,,,0,0,,,,,,,0,,,Rapport de match
2011-09-27,Mar,Champions Lg,Phase de groupe,Domicile,V 3–0,es Real Madrid,nl Ajax,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-10-02,Dim,La Liga,Journée 7,Extérieur,V 4–0,Real Madrid,Espanyol,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2011-10-07,Ven,Qualifications Euro,Phase de groupe,Domicile,V 5–3,pt Portugal,is Islande,Y*,,90,0,,0,0,,,0,0,,,,,,,0,,,Rapport de match
