Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2018-08-18,Sam,Serie A,Journée 1,Extérieur,V 3–2,Juventus,Chievo,Y,FWLW,90,0,0,0,0,9,4,0,0,52,0,0,0,0.8,0.8,0.3,8,0,32,37,86.5,3,36,3,4,0,Rapport de match
2018-08-25,Sam,Serie A,Journée 2,Domicile,V 2–0,Juventus,Lazio,Y,LW,90,0,1,0,0,6,4,0,0,45,1,0,0,0.4,0.4,0.6,6,1,27,31,87.1,6,33,7,2,2,Rapport de match
2018-09-01,Sam,Serie A,Journée 3,Extérieur,V 2–1,Juventus,Parma,Y,LWFW,90,0,0,0,0,8,1,0,0,58,0,0,0,0.4,0.4,0.1,7,0,37,46,80.4,8,39,6,3,2,Rapport de match
2018-09-16,Dim,Serie A,Journée 4,Domicile,V 2–1,Juventus,Sassuolo,Y,FW,90,2,0,0,0,9,3,0,0,40,0,0,0,2.0,2.0,0.0,4,0,19,26,73.1,4,23,7,2,2,Rapport de match
2018-09-19,Mer,Champions Lg,Phase de groupe,Extérieur,V 2–0,it Juventus,es Valencia,Y,LW,28,0,0,0,0,2,0,0,1,15,0,0,0,0.1,0.1,0.6,3,0,9,11,81.8,2,8,2,0,0,Rapport de match
2018-09-23,Dim,Serie A,Journée 5,Extérieur,V 2–0,Juventus,Frosinone,Y,LW,90,1,0,0,0,10,4,0,0,63,1,0,1,1.5,1.5,0.1,8,1,38,46,82.6,7,49,6,3,2,Rapport de match
2018-09-26,Mer,Serie A,Journée 6,Domicile,V 2–0,Juventus,Bologna,Y,FW,90,0,1,0,0,4,1,0,0,74,0,0,1,0.2,0.2,0.2,7,1,58,63,92.1,5,45,7,2,1,Rapport de match
2018-09-29,Sam,Serie A,Journée 7,Domicile,V 3–1,Juventus,Napoli,Y,FW,90,0,2,0,0,8,5,0,0,46,0,0,1,0.9,0.9,0.7,8,3,27,30,90.0,3,30,4,4,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-06,Sam,Serie A,Journée 8,Extérieur,V 2–0,Juventus,Udinese,Y,LWFW,90,1,0,0,0,7,3,0,0,54,0,1,0,0.7,0.7,0.1,6,0,34,41,82.9,6,40,4,0,0,Rapport de match
2018-10-20,Sam,Serie A,Journée 9,Domicile,N 1–1,Juventus,Genoa,Y,LWFW,90,1,0,0,0,11,3,0,0,63,0,0,0,1.4,1.4,0.0,3,0,36,41,87.8,3,38,3,3,1,Rapport de match
2018-10-23,Mar,Champions Lg,Phase de groupe,Extérieur,V 1–0,it Juventus,eng Manchester Utd,Y,FW,90,0,0,0,0,3,2,0,0,45,1,1,0,0.2,0.2,0.0,4,0,32,38,84.2,3,32,4,0,0,Rapport de match
2018-10-27,Sam,Serie A,Journée 10,Extérieur,V 2–1,Juventus,Empoli,Y,FW,90,2,0,1,1,5,2,0,0,57,1,0,0,0.9,0.2,0.0,4,0,38,45,84.4,8,35,2,1,0,Rapport de match
2018-11-03,Sam,Serie A,Journée 11,Domicile,V 3–1,Juventus,Cagliari,Y,FWLW,90,0,1,0,0,5,0,0,0,41,0,0,0,0.5,0.5,0.5,2,1,25,32,78.1,4,26,8,1,1,Rapport de match
2018-11-07,Mer,Champions Lg,Phase de groupe,Domicile,D 1–2,it Juventus,eng Manchester Utd,Y,FWLW,90,1,0,0,0,8,1,0,0,51,0,0,1,0.5,0.5,0.9,6,0,29,36,80.6,3,39,5,0,0,Rapport de match
2018-11-11,Dim,Serie A,Journée 12,Extérieur,V 2–0,Juventus,Milan,Y,LWFW,90,1,0,0,0,5,3,0,0,47,0,0,0,0.7,0.7,0.0,5,0,32,39,82.1,6,32,5,6,4,Rapport de match
2018-11-24,Sam,Serie A,Journée 13,Domicile,V 2–0,Juventus,SPAL,Y,FW,90,1,0,0,0,5,2,0,0,37,0,0,0,0.7,0.7,0.0,3,0,22,30,73.3,1,24,6,1,0,Rapport de match
2018-11-27,Mar,Champions Lg,Phase de groupe,Domicile,V 1–0,it Juventus,es Valencia,Y,LW,90,0,1,0,0,9,3,0,0,49,1,0,0,0.4,0.4,1.0,4,1,23,31,74.2,1,31,6,3,0,Rapport de match
2018-12-01,Sam,Serie A,Journée 14,Extérieur,V 3–0,Juventus,Fiorentina,Y,LW,79,1,0,1,1,5,1,1,0,43,0,0,0,1.2,0.4,0.2,6,0,20,29,69.0,3,32,4,1,1,Rapport de match
2018-12-07,Ven,Serie A,Journée 15,Domicile,V 1–0,Juventus,Inter,Y,FW,90,0,0,0,0,4,1,0,0,39,0,1,0,0.1,0.1,0.1,3,0,23,29,79.3,4,34,5,2,0,Rapport de match
2018-12-12,Mer,Champions Lg,Phase de groupe,Extérieur,D 1–2,it Juventus,ch Young Boys,Y,FWLW,90,0,1,0,0,6,0,0,0,34,0,0,0,1.0,1.0,0.3,5,1,18,23,78.3,2,29,4,4,3,Rapport de match
2018-12-15,Sam,Serie A,Journée 16,Extérieur,V 1–0,Juventus,Torino,Y,LWRW,90,1,0,1,1,5,2,1,0,41,1,0,0,1.1,0.3,0.0,7,0,25,29,86.2,8,30,5,3,3,Rapport de match
