Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2015-08-23,Dim,La Liga,Journée 1,Extérieur,N 0–0,Real Madrid,Sporting Gijón,Y,AM,90,0,0,0,0,10,4,0,0,0,0,1,3,1,0,0,0,0,Rapport de match
2015-08-29,Sam,La Liga,Journée 2,Domicile,V 5–0,Real Madrid,Betis,Y,AM,90,0,0,0,0,6,5,0,0,1,3,1,3,1,0,0,0,0,Rapport de match
2015-09-04,Ven,Matchs amicaux (H),Matchs amicaux (H),Domicile,D 0–1,pt Portugal,fr France,Y*,FW,66,0,0,0,0,,,0,0,,,,,,,0,,,Rapport de match
2015-09-07,Lun,Qualifications Euro,Phase de groupe,Extérieur,V 1–0,pt Portugal,al Albanie,Y*,FW,90,0,0,0,0,3,2,0,0,1,1,4,0,0,0,0,0,0,Rapport de match
2015-09-12,Sam,La Liga,Journée 3,Extérieur,V 6–0,Real Madrid,Espanyol,Y,AM,90,5,1,1,1,7,5,0,0,1,2,2,3,0,0,0,0,0,Rapport de match
2015-09-15,Mar,Champions Lg,Phase de groupe,Domicile,V 4–0,es Real Madrid,ua Shakhtar,Y,AM,90,3,0,2,2,10,3,0,0,2,2,1,3,0,0,0,0,0,Rapport de match
2015-09-19,Sam,La Liga,Journée 4,Domicile,V 1–0,Real Madrid,Granada,Y,AM,90,0,0,0,0,8,5,0,0,0,0,1,0,0,0,0,0,0,Rapport de match
2015-09-23,Mer,La Liga,Journée 5,Extérieur,V 2–1,Real Madrid,Athletic Club,Y,AM,90,0,0,0,0,4,1,1,0,1,0,1,1,0,1,0,0,0,Rapport de match
2015-09-26,Sam,La Liga,Journée 6,Domicile,N 0–0,Real Madrid,Málaga,Y,FW,90,0,0,0,0,14,2,1,0,1,1,2,2,0,0,0,0,0,Rapport de match
2015-09-30,Mer,Champions Lg,Phase de groupe,Extérieur,V 2–0,es Real Madrid,se Malmö,Y*,FW,90,2,0,0,0,12,7,0,0,1,1,3,1,0,0,0,0,0,Rapport de match
