Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2017-10-14,Sam,La Liga,Journée 8,Extérieur,V 2–1,Real Madrid,Getafe,Y,FW,90,1,0,0,0,5,3,0,0,42,0,0,0,1.3,1.3,0.1,2,0,24,34,70.6,4,32,3,0,0,Rapport de match
2017-10-17,Mar,Champions Lg,Phase de groupe,Domicile,N 1–1,es Real Madrid,eng Tottenham,Y,FW,90,1,0,1,1,7,2,1,0,37,0,0,0,1.3,0.5,0.1,5,0,18,24,75.0,4,24,5,4,3,Rapport de match
2017-10-22,Dim,La Liga,Journée 9,Domicile,V 3–0,Real Madrid,Eibar,Y,FW,90,0,0,0,0,5,2,0,0,37,0,0,0,0.6,0.6,0.1,3,0,20,27,74.1,3,27,1,1,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-29,Dim,La Liga,Journée 10,Extérieur,D 1–2,Real Madrid,Girona,Y,FW,90,0,0,0,0,7,3,0,0,35,0,0,1,0.5,0.5,0.1,3,1,18,23,78.3,4,27,5,2,1,Rapport de match
2017-11-01,Mer,Champions Lg,Phase de groupe,Extérieur,D 1–3,es Real Madrid,eng Tottenham,Y,FW,90,1,0,0,0,7,5,0,0,45,0,0,0,1.0,1.0,0.0,3,0,33,36,91.7,5,33,4,2,2,Rapport de match
2017-11-05,Dim,La Liga,Journée 11,Domicile,V 3–0,Real Madrid,Las Palmas,Y,FW,90,0,1,0,0,8,1,0,0,53,0,0,0,0.4,0.4,0.8,4,1,33,42,78.6,5,25,4,0,0,Rapport de match
2017-11-18,Sam,La Liga,Journée 12,Extérieur,N 0–0,Real Madrid,Atlético Madrid,Y,FW,90,0,0,0,0,7,2,0,0,42,0,0,1,0.6,0.6,0.3,4,0,23,29,79.3,5,29,3,1,0,Rapport de match
2017-11-21,Mar,Champions Lg,Phase de groupe,Extérieur,V 6–0,es Real Madrid,cy APOEL FC,Y,FW,90,2,1,0,0,8,3,0,0,37,0,0,2,0.9,0.9,0.5,8,3,18,24,75.0,1,33,5,1,1,Rapport de match
2017-11-25,Sam,La Liga,Journée 13,Domicile,V 3–2,Real Madrid,Málaga,Y,FW,90,1,0,0,1,6,3,0,0,45,0,1,0,1.4,0.5,0.0,4,2,26,32,81.3,7,29,2,2,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-02,Sam,La Liga,Journée 14,Extérieur,N 0–0,Real Madrid,Athletic Club,Y,FW,90,0,0,0,0,6,2,1,0,36,0,0,1,0.5,0.5,0.1,5,0,17,28,60.7,3,24,6,3,3,Rapport de match
2017-12-06,Mer,Champions Lg,Phase de groupe,Domicile,V 3–2,es Real Madrid,de Dortmund,Y,LW,90,1,0,0,0,8,5,0,0,64,0,0,0,1.7,1.7,0.1,3,1,37,54,68.5,5,43,4,5,5,Rapport de match
2017-12-09,Sam,La Liga,Journée 15,Domicile,V 5–0,Real Madrid,Sevilla,Y,FW,75,2,0,1,1,4,2,0,0,36,0,1,0,1.5,0.7,0.1,5,2,23,27,85.2,3,25,4,0,0,Rapport de match
2017-12-23,Sam,La Liga,Journée 17,Domicile,D 0–3,Real Madrid,Barcelona,Y,FW,90,0,0,0,0,5,1,0,0,45,1,0,2,0.2,0.2,0.1,2,0,22,31,71.0,3,29,7,1,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,Dim,La Liga,Journée 18,Extérieur,N 2–2,Real Madrid,Celta Vigo,Y,FW,90,0,0,0,0,5,3,0,0,41,1,1,1,0.5,0.5,0.0,2,1,24,30,80.0,4,24,2,2,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,Sam,La Liga,Journée 19,Domicile,D 0–1,Real Madrid,Villarreal,Y,FW,90,0,0,0,0,11,4,0,0,44,1,0,1,1.3,1.3,0.1,5,0,21,28,75.0,3,30,6,1,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,Dim,La Liga,Journée 20,Domicile,V 7–1,Real Madrid,La Coruña,Y,LW,84,2,1,0,0,7,3,0,0,46,1,1,0,1.0,1.0,0.1,4,1,32,35,91.4,4,29,7,4,3,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,Sam,La Liga,Journée 21,Extérieur,V 4–1,Real Madrid,Valencia,Y,LW,90,2,0,2,2,5,2,0,0,48,1,0,0,2.1,0.5,0.0,3,1,29,36,80.6,2,23,3,2,1,Rapport de match
2018-02-03,Sam,La Liga,Journée 22,Extérieur,N 2–2,Real Madrid,Levante,Y,LW,81,0,0,0,0,7,2,0,0,42,1,0,0,0.6,0.6,0.0,4,0,26,30,86.7,2,27,2,2,1,Rapport de match
2018-02-10,Sam,La Liga,Journée 23,Domicile,V 5–2,Real Madrid,Real Sociedad,Y,FW,90,3,1,0,0,7,3,0,0,51,0,0,1,2.0,2.0,0.7,9,2,29,37,78.4,6,35,4,6,4,Rapport de match
2018-02-14,Mer,Champions Lg,Huitièmes de finale,Domicile,V 3–1,es Real Madrid,fr Paris S-G,Y,FW,90,2,0,1,1,9,3,0,0,37,2,2,2,2.1,1.3,0.0,3,0,17,21,81.0,0,25,4,0,0,Rapport de match
2018-02-18,Dim,La Liga,Journée 24,Extérieur,V 5–3,Real Madrid,Betis,Y,FW,88,1,0,0,0,5,4,0,0,20,0,0,1,0.4,0.4,0.3,4,2,11,13,84.6,3,12,3,2,2,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,Sam,La Liga,Journée 25,Domicile,V 4–0,Real Madrid,Alavés,Y*,FW,90,2,0,0,0,8,4,0,0,52,0,1,0,0.7,0.7,0.1,6,1,33,40,82.5,7,37,7,2,1,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,Sam,La Liga,Journée 27,Domicile,V 3–1,Real Madrid,Getafe,Y,FW,78,2,0,0,0,4,3,0,0,37,0,0,0,1.1,1.1,0.0,1,1,23,31,74.2,4,30,3,3,2,Rapport de match
2018-03-06,Mar,Champions Lg,Huitièmes de finale,Extérieur,V 2–1,es Real Madrid,fr Paris S-G,Y,FW,90,1,1,0,0,4,1,0,0,53,1,0,1,0.5,0.5,0.2,6,2,36,42,85.7,2,40,6,4,3,Rapport de match
2018-03-10,Sam,La Liga,Journée 28,Extérieur,V 2–1,Real Madrid,Eibar,Y,FW,90,2,0,0,0,6,4,0,0,32,0,1,0,1.3,1.3,0.0,1,0,15,24,62.5,0,29,6,3,3,Rapport de match
2018-03-18,Dim,La Liga,Journée 29,Domicile,V 6–3,Real Madrid,Girona,Y,FW,90,4,1,0,0,10,7,0,0,52,1,0,0,1.9,1.9,0.2,4,1,30,38,78.9,3,34,6,1,1,Rapport de match
2018-03-23,Ven,Matchs amicaux (H),Matchs amicaux (H),Domicile,V 2–1,pt Portugal,eg Égypte,Y*,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2018-03-26,Lun,Matchs amicaux (H),Matchs amicaux (H),Domicile,D 0–3,pt Portugal,nl Pays-Bas,Y*,FW,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2018-04-03,Mar,Champions Lg,Quarts de finale,Extérieur,V 3–0,es Real Madrid,it Juventus,Y,FW,90,2,1,0,0,7,3,0,0,46,0,0,1,1.4,1.4,1.4,6,1,26,34,76.5,4,29,6,4,3,Rapport de match
2018-04-08,Dim,La Liga,Journée 31,Domicile,N 1–1,Real Madrid,Atlético Madrid,Y,FW,63,1,0,0,0,4,3,0,0,34,0,0,0,0.4,0.4,0.3,4,0,22,28,78.6,1,24,6,1,1,Rapport de match
2018-04-11,Mer,Champions Lg,Quarts de finale,Domicile,D 1–3,es Real Madrid,it Juventus,Y,FW,90,1,0,1,1,5,2,1,0,42,0,0,1,1.1,0.3,0.5,4,0,19,28,67.9,3,34,6,3,2,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18,Mer,La Liga,Journée 33,Domicile,N 1–1,Real Madrid,Athletic Club,Y,FW,90,1,0,0,0,7,3,0,0,41,0,0,1,0.5,0.5,0.2,6,0,19,26,73.1,5,39,6,3,1,Rapport de match
2018-04-25,Mer,Champions Lg,Demi-finales,Extérieur,V 2–1,es Real Madrid,de Bayern Munich,Y,FW,90,0,0,0,0,2,0,0,0,27,1,0,0,0.1,0.1,0.0,0,0,16,19,84.2,1,14,2,0,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,Mar,Champions Lg,Demi-finales,Domicile,N 2–2,es Real Madrid,de Bayern Munich,Y,FW,90,0,0,0,0,5,1,0,0,32,1,1,0,0.7,0.7,0.0,2,0,13,21,61.9,3,17,3,2,1,Rapport de match
2018-05-06,Dim,La Liga,Journée 36,Extérieur,N 2–2,Real Madrid,Barcelona,Y,LW,45,1,0,0,0,7,3,0,0,26,0,0,0,1.5,1.5,0.0,0,0,13,16,81.3,0,19,4,0,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-19,Sam,La Liga,Journée 38,Extérieur,N 2–2,Real Madrid,Villarreal,Y,FW,61,1,0,0,0,5,2,0,0,33,0,0,0,0.4,0.4,0.0,1,0,18,21,85.7,3,22,3,2,0,Rapport de match
2018-05-26,Sam,Champions Lg,Finale,Terrain neutre,V 3–1,es Real Madrid,eng Liverpool,Y,FW,90,0,0,0,0,3,1,0,0,51,0,0,1,0.5,0.5,0.1,3,2,34,38,89.5,2,38,5,2,0,Rapport de match
2018-06-07,Jeu,Matchs amicaux (H),Matchs amicaux (H),Domicile,V 3–0,pt Portugal,dz Algérie,Y*,FW,73,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2018-06-15,Ven,World Cup,Phase de groupe,Terrain neutre,N 3–3,pt Portugal,es Espagne,Y*,FW,90,3,0,1,1,3,2,0,0,47,0,0,1,1.0,0.2,0.1,3,2,35,37,94.6,5,25,5,1,0,Rapport de match
2018-06-20,Mer,World Cup,Phase de groupe,Terrain neutre,V 1–0,pt Portugal,ma Maroc,Y*,FW,90,1,0,0,0,6,1,0,0,39,0,0,0,0.8,0.8,0.4,2,0,17,24,70.8,2,20,1,0,0,Rapport de match
2018-06-25,Lun,World Cup,Phase de groupe,Terrain neutre,N 1–1,pt Portugal,ir Iran,Y*,FW,90,0,0,0,1,4,2,1,0,48,0,0,1,1.0,0.2,0.0,7,0,24,33,72.7,5,29,3,7,4,Rapport de match
2018-06-30,Sam,World Cup,Huitièmes de finale,Terrain neutre,D 1–2,pt Portugal,uy Uruguay,Y*,FW,90,0,0,0,0,6,1,1,0,40,0,0,0,0.2,0.2,0.1,2,0,23,29,79.3,2,33,7,5,3,Rapport de match
,,,,,33-12-8,,,50/53,,4392,52,11,9,11,272,108,8,1,1813,12,9,20,42.9,35.0,8.8,162,29,1033,1320,78.3,145,1237,198,93,60,
