Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2017-08-08,Mar,Super Cup,Supercoupe UEFA,Terrain neutre,V 2–1,es Real Madrid,eng Manchester Utd,N,,8,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2017-08-13,Dim,Supercopa de España,Supercopa de España,Terrain neutre,V 3–1,Real Madrid,Barcelona,N,,24,1,0,0,0,,,2,1,,,,,,,,,,,,,,,,,,Rapport de match
2017-08-31,Jeu,WCQ,Premier tour,Domicile,V 5–1,pt Portugal,fo Îles Féroé,Y*,FW,90,3,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2017-09-03,Dim,WCQ,Premier tour,Extérieur,V 1–0,pt Portugal,hu Hongrie,Y*,FW,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Rapport de match
2017-09-13,Mer,Champions Lg,Phase de groupe,Domicile,V 3–0,es Real Madrid,cy APOEL FC,Y,FW,90,2,0,1,1,8,2,0,0,39,0,0,0,2.7,1.9,0.4,5,0,23,30,76.7,1,23,6,2,2,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20,Mer,La Liga,Journée 5,Domicile,D 0–1,Real Madrid,Betis,Y,FW,90,0,0,0,0,12,1,0,0,44,0,0,0,1.4,1.4,0.4,2,0,22,29,75.9,4,29,7,1,1,Rapport de match
2017-09-23,Sam,La Liga,Journée 6,Extérieur,V 2–1,Real Madrid,Alavés,Y,FW,90,0,0,0,0,6,1,0,0,37,0,0,0,0.3,0.3,0.1,4,0,22,27,81.5,6,24,2,3,3,Rapport de match
2017-09-26,Mar,Champions Lg,Phase de groupe,Extérieur,V 3–1,es Real Madrid,de Dortmund,Y,FW,90,2,0,0,0,5,2,0,0,42,0,0,0,0.9,0.9,0.0,1,0,29,37,78.4,1,29,8,0,0,Rapport de match
2017-10-01,Dim,La Liga,Journée 7,Domicile,V 2–0,Real Madrid,Espanyol,Y,FW,90,0,1,0,0,5,1,0,0,36,0,0,0,0.5,0.5,1.0,7,2,20,27,74.1,5,34,6,3,2,Rapport de match
2017-10-07,Sam,WCQ,Premier tour,Extérieur,V 2–0,pt Portugal,ad Andorre,N,,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2017-10-10,Mar,WCQ,Premier tour,Domicile,V 2–0,pt Portugal,ch Suisse,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
